incident_severity,vehicle_claim,total_claim_amount,property_claim,authorities_contacted,injury_claim,fraud_reported
1,64136,100785,18324,1,18324,0
0,34990,51152,5387,1,10774,0
1,5987,8813,1328,3,1496,0
1,25369,34608,3226,2,6012,0
1,47368,67668,6766,1,13533,0
1,45212,67818,11303,2,11303,0
1,50135,64459,7162,1,7162,0
2,42144,63216,10536,1,10536,0
1,6029,8210,727,3,1454,0
2,32178,40840,4331,1,4331,0
1,42279,56372,9395,0,4697,0
3,4642,5905,631,3,631,0
3,5169,6863,1129,3,564,0
1,46663,59995,6666,2,6666,0
1,33943,47699,9170,1,4585,0
0,34844,49283,4812,1,9625,0
1,66435,83044,8304,2,8304,0
0,34940,49914,4991,1,9982,0
2,6227,8766,846,3,1692,0
0,24774,32664,3945,0,3945,0
1,6186,8360,724,3,1449,0
0,57989,79735,7248,0,14497,0
0,40167,59300,9566,0,9566,0
2,46042,57553,5755,0,5755,0
1,40456,57794,5779,0,11558,0
2,5558,7643,694,3,1389,0
0,40598,57195,5532,0,11065,0
0,53046,74101,14036,1,7018,0
2,54460,81690,13615,2,13615,0
0,42858,58930,5357,1,10714,0
1,28881,43321,4813,0,9627,0
1,41800,55399,6799,0,6799,0
1,56431,85798,21566,2,7799,0
1,1504,2288,304,3,480,0
2,49335,64983,7824,0,7824,0
2,4827,6544,777,3,940,0
0,51006,63757,6375,0,6375,0
1,40969,61422,10226,1,10226,0
1,5219,6524,652,3,652,0
0,40266,56983,5572,0,11144,0
1,32319,40285,3983,2,3983,0
0,46045,63312,11511,2,5755,0
2,46254,57817,5781,1,5781,0
1,53100,79650,13275,3,13275,0
3,4039,4661,103,3,517,0
1,2313,3042,316,3,411,0
0,36349,51928,5192,1,10385,0
0,51619,64524,6452,1,6452,0
1,33209,44279,3730,2,7339,0
1,39913,62924,11505,2,11505,0
1,36711,53230,11013,0,5506,0
1,41348,55131,9188,0,4594,0
2,54710,70210,7749,2,7749,0
2,5266,7365,1399,3,699,0
0,54951,73312,12240,2,6120,0
1,47689,71534,11922,1,11922,0
1,50740,63425,6342,0,6342,0
1,43848,62641,6264,1,12528,0
1,39887,51284,5698,2,5698,0
3,2320,3190,355,3,514,0
1,34047,50950,11269,0,5634,0
2,42079,66124,12022,2,12022,0
1,4523,5577,527,3,527,0
1,5502,8078,1242,3,1332,0
1,3400,4481,412,3,668,0
0,35069,57956,10019,1,12866,0
1,51065,63831,6383,0,6383,0
2,35365,45470,5052,2,5052,0
1,53430,77391,7986,2,15973,0
2,47920,75303,13691,0,13691,0
2,21226,30323,6064,1,3032,0
2,47689,61314,6812,1,6812,0
1,40580,57972,5797,0,11594,0
1,58456,81799,7780,0,15561,0
1,55676,79537,7953,0,15907,0
0,41143,52898,5877,1,5877,0
1,43866,72567,14350,0,14350,0
1,44069,62957,12591,1,6295,0
0,34522,50460,5312,2,10625,0
3,3828,5184,798,3,558,0
2,2902,4216,484,3,829,0
1,56769,78058,14192,1,7096,0
2,30176,44194,4672,1,9345,0
1,27849,39785,3978,2,7957,0
1,37940,48226,5143,1,5143,0
1,43318,64977,10829,0,10829,0
2,26013,35768,3251,1,6503,0
1,33592,42317,4362,0,4362,0
0,40573,52166,5796,1,5796,0
1,3448,5398,974,3,974,0
0,41982,59975,11995,0,5997,0
1,33536,52700,9581,3,9581,0
1,27076,39874,6399,0,6399,0
0,42732,53415,5341,2,5341,0
0,52705,65881,6588,0,6588,0
3,3610,4503,441,3,451,0
2,35217,43485,4134,3,4134,0
1,25115,32884,3884,1,3884,0
1,47610,68015,6801,3,13603,0
3,4130,5353,611,3,611,0
0,51265,64000,6367,0,6367,0
2,44044,56629,6292,2,6292,0
0,26621,31608,1660,1,3326,0
1,3851,5506,571,3,1083,0
2,26928,41773,7422,0,7422,0
1,43031,67621,12294,1,12294,0
1,4023,6035,1005,3,1005,0
1,32351,40870,4259,1,4259,0
1,68180,90907,7575,1,15151,0
1,4963,6837,624,3,1249,0
0,38192,64192,18867,2,7132,0
0,49988,68734,6248,0,12497,0
0,52357,73718,14240,0,7120,0
1,2601,3727,536,3,590,0
1,44045,63410,12910,0,6455,0
0,56558,77768,14139,1,7069,0
1,47095,60551,6727,1,6727,0
1,47924,79425,15750,2,15750,0
1,33202,51923,9360,0,9360,0
2,55499,69469,6985,2,6985,0
1,33636,43911,5137,1,5137,0
3,5343,7512,1446,3,723,0
1,46514,63064,5516,2,11033,0
0,40976,59917,13431,1,5508,0
1,64880,100273,17696,1,17696,0
1,24721,35316,7063,2,3531,0
0,51814,74907,15395,0,7697,0
1,42838,67318,12239,1,12239,0
1,36168,51669,10333,1,5166,0
1,43843,63522,13119,2,6559,0
1,28655,38206,4775,1,4775,0
1,50091,71559,14311,2,7155,0
1,32461,44155,7156,3,4537,0
2,35053,51383,8164,2,8164,0
0,46883,64465,11720,0,5860,0
1,43817,53132,4657,0,4657,0
1,59842,79790,13298,2,6649,0
2,33946,46676,8486,1,4243,0
1,27561,40691,6565,2,6565,0
0,29933,47038,8552,1,8552,0
1,53690,73823,6711,2,13422,0
1,26293,32662,2820,2,3548,0
1,53577,76538,7653,1,15307,0
1,41360,60781,6473,2,12947,0
2,3611,4551,470,3,470,0
1,43628,53179,4775,0,4775,0
1,54452,79866,12706,3,12706,0
1,50288,71840,14368,3,7184,0
1,56094,71298,7601,3,7601,0
1,72630,88770,8070,1,8070,0
1,76967,94334,8683,2,8683,0
1,28618,39548,5465,2,5465,0
1,3622,4657,517,3,517,0
1,41229,60820,9795,1,9795,0
1,4052,5695,547,3,1095,0
1,40123,51587,5731,2,5731,0
1,49777,64000,7111,1,7111,0
1,24030,32584,3461,1,5092,0
2,32147,44273,4041,1,8083,0
0,45415,69940,12262,2,12262,0
1,3513,4652,664,3,474,0
0,55284,73712,12285,2,6142,0
2,3614,4565,475,3,475,0
0,47414,60527,6556,3,6556,0
1,4172,6491,1159,3,1159,0
1,73981,106861,16440,2,16440,0
2,20003,28412,5605,1,2802,0
0,48048,56693,8645,1,0,0
3,4698,5993,647,3,647,0
2,41925,57037,10074,1,5037,0
0,31149,43960,8540,2,4270,0
0,55440,76231,13860,2,6930,0
0,44265,66398,14755,1,7377,0
2,47239,60430,6595,2,6595,0
1,41929,59899,5989,0,11979,0
2,55781,69700,6959,2,6959,0
1,47809,68298,6829,3,13659,0
1,45682,62814,11420,0,5710,0
0,50759,69794,6344,0,12689,0
1,42759,58794,10689,1,5344,0
2,52631,82705,15037,2,15037,0
2,2175,3246,449,3,621,0
0,47973,78721,15374,2,15374,0
2,4107,5734,542,3,1084,0
1,41618,59200,5860,0,11721,0
1,32244,51179,9467,2,9467,0
0,27276,42863,7793,0,7793,0
3,5022,6336,656,3,656,0
0,27373,43015,7821,0,7821,0
2,15258,20659,3172,1,2228,0
1,47120,69972,15234,2,7617,0
2,3814,5587,591,3,1182,0
1,58488,90777,16144,3,16144,0
1,53389,73410,13347,2,6673,0
1,27020,38120,3700,1,7400,0
1,3918,5623,568,3,1136,0
1,24418,31929,3381,2,4129,0
0,45959,63194,11489,2,5744,0
2,4140,5835,565,3,1130,0
1,30524,50830,10087,0,10218,0
1,3438,5199,880,3,880,0
1,45551,62632,11387,1,5693,0
1,53169,72955,13190,2,6595,0
1,1167,1558,3,3,386,0
1,35288,44519,4615,2,4615,0
1,1442,1922,1,3,478,0
1,39456,62002,11273,1,11273,0
0,37097,47117,5009,1,5009,0
0,50994,62758,5881,0,5881,0
1,45327,67990,11331,2,11331,0
1,4084,6138,1026,3,1026,0
1,58198,90989,16395,3,16395,0
1,44990,64271,6427,0,12854,0
2,44439,56188,5874,3,5874,0
1,55305,86744,23553,2,7885,0
3,4183,5367,591,3,591,0
1,43369,61956,6195,1,12391,0
1,49503,77790,14143,1,14143,0
1,33211,44253,5520,2,5520,0
0,46406,63641,11489,0,5744,0
0,53623,76605,7660,1,15321,0
1,59975,79967,13327,3,6663,0
0,35455,63186,20006,1,7724,0
1,38429,52840,4803,0,9607,0
1,23177,29800,3311,3,3311,0
2,31793,45419,4541,0,9083,0
1,4927,7118,1095,3,1095,0
0,35696,51997,10866,2,5433,0
1,67726,92032,8102,0,16204,0
1,34490,51558,11378,0,5689,0
1,49618,70882,14176,2,7088,0
1,45824,63008,5728,2,11456,0
3,4985,6855,1246,3,623,0
0,48173,79620,15723,2,15723,0
1,41038,58626,5862,1,11725,0
1,53304,66630,6663,0,6663,0
0,42202,58027,5275,0,10550,0
0,34314,49020,4902,0,9804,0
0,41281,58136,11236,1,5618,0
1,57422,84884,13730,2,13730,0
2,56437,77601,7054,2,14109,0
3,3802,5703,950,3,950,0
1,60195,82768,15048,1,7524,0
1,33491,46938,8964,1,4482,0
2,33847,42472,4312,0,4312,0
0,28624,37524,4450,1,4450,0
1,39641,59462,9910,0,9910,0
1,41841,57532,10460,1,5230,0
0,37956,54223,5422,1,10844,0
1,70396,101683,15643,1,15643,0
1,60188,82759,15047,1,7523,0
1,47561,67945,6794,2,13589,0
1,46779,62372,10395,2,5197,0
0,43022,53777,5377,1,5377,0
1,5120,6400,640,3,640,0
1,46462,63886,11615,0,5807,0
0,56177,77244,14044,1,7022,0
3,5769,7674,641,3,1264,0
1,57436,78974,7179,0,14359,0
0,48198,68854,13770,0,6885,0
1,33095,50904,5515,0,12292,0
1,63996,92439,14221,2,14221,0
1,4033,6049,1008,3,1008,0
1,3402,4613,772,3,438,0
1,49397,70567,14113,2,7056,0
0,29101,37996,4447,0,4447,0
1,31591,43455,7909,1,3954,0
1,41907,57623,10476,3,5238,0
2,54695,70322,7813,3,7813,0
1,38771,56227,11637,1,5818,0
1,2862,3683,410,3,410,0
1,38815,53717,9934,0,4967,0
3,3836,5186,781,3,568,0
1,54711,76804,14728,2,7364,0
1,58754,78339,13056,2,6528,0
2,48650,62391,6870,2,6870,0
2,48522,64696,5391,2,10782,0
1,51531,80977,14723,1,14723,0
1,34373,44194,4910,1,4910,0
1,43405,62007,6200,1,12401,0
2,38225,55982,5598,0,12158,0
1,42519,63779,10629,1,10629,0
1,52036,65045,6504,2,6504,0
1,54084,84989,15452,2,15452,0
2,41073,61610,10268,1,10268,0
1,3517,5124,652,3,955,0
3,2376,3197,367,3,453,0
1,55135,75811,6891,1,13783,0
0,48504,60630,6063,3,6063,0
1,26570,32895,3321,2,3003,0
0,55705,76594,13926,0,6963,0
1,29531,43773,4747,2,9494,0
0,56244,77335,14061,2,7030,0
1,53362,73373,13340,2,6670,0
1,49280,77441,14080,1,14080,0
3,5291,6888,1064,3,532,0
2,35277,43788,4255,3,4255,0
0,48724,79408,15341,1,15341,0
1,42080,63120,10520,1,10520,0
1,57803,79479,7225,1,14450,0
0,44431,64481,10025,0,10025,0
1,3345,4779,477,3,955,0
2,26847,41757,7454,0,7454,0
3,5255,7226,656,3,1313,0
1,47476,80022,17614,1,14931,0
1,34217,53955,12574,1,7163,0
3,2108,2705,298,3,298,0
1,59250,74533,7641,2,7641,0
0,43976,62823,6282,1,12564,0
1,43677,71313,13817,2,13817,0
1,59466,79288,13214,2,6607,0
0,39266,53991,4908,2,9816,0
1,32191,39947,3878,2,3878,0
1,44806,61608,11201,2,5600,0
1,50444,69360,6305,0,12611,0
1,41613,53503,5944,0,5944,0
1,55694,79563,7956,0,15912,0
1,56527,77724,14131,0,7065,0
2,2373,3179,379,3,426,0
1,36139,52957,11212,1,5606,0
3,4720,5900,590,3,590,0
3,3594,4952,452,3,905,0
3,3713,5815,1051,3,1051,0
0,34570,50451,10587,0,5293,0
1,44912,65626,6904,2,13808,0
1,44026,56606,6289,2,6289,0
1,3865,5618,876,3,876,0
1,38779,53321,4847,1,9694,0
2,34583,49404,9880,1,4940,0
1,4850,6498,1098,3,549,0
1,50739,63424,6342,0,6342,0
1,26113,33228,3557,3,3557,0
0,57048,71742,7347,3,7347,0
2,4237,5831,531,3,1062,0
2,2827,4316,942,3,545,0
1,4174,6559,1192,3,1192,0
0,54461,76753,14861,2,7430,0
1,38814,56257,11629,1,5814,0
1,58846,75727,8440,1,8440,0
3,6017,7498,681,3,799,0
1,27110,40665,6777,1,6777,0
1,4550,6500,650,3,1300,0
2,58858,75514,8328,2,8328,0
1,32845,51582,9368,2,9368,0
0,50756,69790,6344,0,12689,0
1,41557,47223,5194,2,471,0
1,25505,35562,3352,2,6704,0
0,43070,61529,12305,1,6152,0
0,35986,51408,5140,2,10281,0
2,48568,65072,5501,1,11002,0
3,3718,5112,929,3,464,0
2,5343,7634,1526,3,763,0
2,1735,2640,452,3,452,0
1,34132,51198,11377,0,5688,0
1,41919,57638,10479,3,5239,0
2,3373,4316,471,3,471,0
2,54879,78399,7839,1,15679,0
1,1812,2640,462,3,365,0
1,24498,34977,6985,2,3492,0
1,55884,76841,13971,1,6985,0
2,48753,65005,5417,1,10834,0
1,52625,75179,7517,0,15035,0
1,60392,82120,14485,1,7242,0
0,36139,54209,12046,0,6023,0
2,55603,69504,6950,2,6950,0
2,47594,61193,6799,1,6799,0
3,5042,7201,1439,3,719,0
1,53220,76029,7602,1,15205,0
1,47984,64369,10923,0,5461,0
1,24702,31760,3528,3,3528,0
1,46350,66950,10300,2,10300,0
2,2038,2621,291,3,291,0
2,33278,44371,5113,1,5979,0
0,33770,48379,4869,0,9739,0
0,49089,77141,14025,0,14025,0
0,49081,70115,7011,2,14023,0
1,4438,6341,634,3,1268,0
0,33048,42073,4512,0,4512,0
1,50161,71659,14331,2,7165,0
1,64747,100243,17748,1,17748,0
3,3494,4864,456,3,913,0
2,50834,62291,5728,0,5728,0
1,28335,40199,5932,1,5932,0
2,2537,3827,644,3,644,0
0,40571,52162,5795,0,5795,0
1,35285,45367,5040,1,5040,0
1,44107,56709,6301,1,6301,0
1,53922,77032,7703,2,15406,0
1,27250,43454,8102,0,8102,0
1,59551,85073,8507,1,17014,0
1,45577,58599,6511,1,6511,0
1,40219,50644,5212,1,5212,0
1,6151,8327,725,3,1450,0
2,4871,6552,797,3,882,0
2,34140,51210,5690,0,11380,0
1,1789,2392,298,3,305,0
1,38527,49363,5418,1,5418,0
1,3733,4762,514,3,514,0
2,4262,5860,532,3,1065,0
1,25218,41698,8239,1,8239,0
1,3854,5597,871,3,871,0
1,46837,53240,730,2,5672,0
2,53170,82985,14907,2,14907,0
1,46350,66950,10300,1,10300,0
2,18432,27774,5266,1,4075,0
0,49855,68551,6231,0,12463,0
0,31822,41501,4839,0,4839,0
0,45646,69822,12088,2,12088,0
0,30887,47521,8317,0,8317,0
0,45972,63212,11493,0,5746,0
2,46474,58092,5809,0,5809,0
1,1500,2281,300,3,480,0
2,53261,79704,13221,3,13221,0
1,6319,9051,1327,3,1404,0
1,36050,51501,10300,1,5150,0
1,34078,55902,10912,2,10912,0
0,25182,35974,7194,1,3597,0
2,2316,3115,303,3,495,0
2,4398,6043,1101,3,543,0
0,49844,68535,6230,0,12461,0
1,59586,90424,15418,3,15418,0
0,54039,72052,12008,1,6004,0
0,32349,42323,5840,0,4133,0
2,68961,93621,8219,1,16439,0
1,54844,78349,7834,1,15669,0
1,26115,33223,3554,3,3554,0
1,3150,4779,1151,3,477,0
1,51025,62364,5669,0,5669,0
0,34973,49962,9992,1,4996,0
0,46990,77256,15133,1,15133,0
1,59000,75294,8147,2,8147,0
1,33233,44311,5538,2,5538,0
0,36385,51979,10395,2,5197,0
0,38631,57115,6161,2,12322,0
1,64583,100349,17883,3,17883,0
1,52969,72833,13242,2,6621,0
1,45852,62937,5695,2,11390,0
1,23919,34650,3576,3,7153,0
2,35078,40366,0,2,5288,0
1,46582,64051,11645,0,5822,0
1,42424,53646,5610,0,5610,0
1,1958,2520,281,3,281,0
1,58981,75351,8184,2,8184,0
1,62495,85128,7544,2,15088,0
0,57392,71130,6869,3,6869,0
1,32646,44889,4080,1,8161,0
2,32745,39204,4381,3,2077,0
1,3310,4676,910,3,455,0
1,3434,4301,433,3,433,0
1,27658,39511,3951,0,7902,0
1,32392,51400,8923,3,10084,0
0,30970,49077,5161,0,12945,0
1,2605,3448,215,3,626,0
1,49449,70642,14128,2,7064,0
1,46804,60177,6686,1,6686,0
3,3843,5862,1009,3,1009,0
0,41335,53145,5905,2,5905,0
1,48562,77779,14608,2,14608,0
3,4330,6076,1163,3,581,0
1,55784,87661,15938,0,15938,0
0,46861,64434,11715,0,5857,0
2,3730,5128,932,3,466,0
1,42704,61006,6100,1,12201,0
0,40863,52538,5837,0,5837,0
1,4864,6485,1061,3,560,0
1,34021,51031,11340,0,5670,0
2,59659,88814,14577,1,14577,0
1,52321,65401,6540,1,6540,0
0,29707,37762,4027,0,4027,0
1,72585,106195,16805,1,16805,0
1,51819,64774,6477,2,6477,0
1,28237,40129,5945,1,5945,0
1,44638,61377,11159,2,5579,0
1,37594,52062,4822,2,9645,0
0,48234,61879,6822,3,6822,0
0,51790,73986,14797,0,7398,0
1,42556,60794,12158,1,6079,0
1,42937,67473,12267,1,12267,0
1,3412,4567,384,3,769,0
0,59334,81585,7416,0,14833,0
1,55503,79290,7929,0,15858,0
1,47117,60579,6731,1,6731,0
2,1724,2640,457,3,457,0
0,72419,88816,8198,1,8198,0
2,44388,53640,5176,1,4075,0
2,46675,53698,7022,1,0,0
1,18357,25626,4846,1,2423,0
2,59883,89825,14970,1,14970,0
1,41859,57557,10464,3,5232,0
0,56092,77127,14023,0,7011,0
1,55588,79412,7941,0,15882,0
1,41802,53745,5971,0,5971,0
1,6513,8799,761,3,1523,0
0,52489,77616,8375,0,16751,0
2,47998,63997,5333,2,10666,0
0,39077,58616,9769,0,9769,0
0,62958,89802,8948,0,17896,0
2,44520,56221,5850,3,5850,0
1,59966,76901,8467,0,8467,0
1,42099,70166,14033,1,14033,0
2,47573,67961,6796,2,13592,0
2,4951,7173,1481,3,740,0
1,44353,71282,13464,1,13464,0
3,3485,4602,642,3,473,0
3,4744,6986,1120,3,1120,0
0,54044,72832,6262,1,12525,0
0,54472,66707,6117,0,6117,0
0,53033,71442,12272,2,6136,0
1,34961,49945,9989,1,4994,0
1,39691,57580,5963,0,11926,0
2,53794,84533,15369,3,15369,0
2,35320,45411,5045,1,5045,0
1,41146,56522,2491,0,12884,0
1,39601,62657,12025,1,11030,0
1,35547,49392,4615,1,9230,0
1,48057,64355,10865,0,5432,0
1,49700,71001,14200,2,7100,0
1,38023,47366,4671,1,4671,0
0,40674,54232,6779,0,6779,0
1,45213,58131,6459,1,6459,0
1,53407,73434,13351,2,6675,0
1,25212,34666,3151,2,6303,0
1,54758,78226,7822,1,15645,0
2,44763,55954,5595,3,5595,0
1,25514,42003,8244,1,8244,0
1,65323,82020,8348,2,8348,0
1,26317,34376,3651,1,4407,0
2,38525,55036,11007,2,5503,0
1,64931,81772,8420,2,8420,0
1,33801,44499,5349,1,5349,0
2,5279,7383,1402,3,701,0
1,44331,56997,6333,1,6333,0
0,36786,47040,5127,1,5127,0
0,43604,62291,6229,2,12458,0
3,3372,4618,820,3,425,0
1,49464,70980,14343,2,7171,0
1,3813,5674,930,3,930,0
0,61931,88473,8847,2,17694,0
3,2100,2700,300,3,300,0
0,48130,60688,12558,2,0,0
2,5040,7169,709,3,1419,0
1,52352,74622,7423,0,14846,0
3,5091,7001,1272,3,636,0
2,55538,69422,6942,2,6942,0
2,5808,7652,645,3,1198,0
1,50556,78517,7531,2,20429,0
2,37885,52092,4735,2,9471,0
1,39670,62637,11831,1,11135,0
1,46611,69916,11652,1,11652,0
1,60520,76821,8150,0,8150,0
1,42743,64115,10685,1,10685,0
3,3929,5140,605,3,605,0
1,3438,5184,872,3,872,0
1,44749,57535,6392,1,6392,0
1,3475,5392,958,3,958,0
1,57785,90805,16510,2,16510,0
1,37587,52467,4959,1,9919,0
1,2626,3787,553,3,607,0
1,46257,59474,6608,2,6608,0
0,49435,70622,7062,1,14124,0
1,42599,60857,12171,2,6085,0
1,33501,47859,9571,0,4785,0
0,41505,62258,10376,2,10376,0
1,33939,56565,11313,1,11313,0
1,43731,72886,14577,0,14577,0
1,2602,3682,540,3,540,0
1,49494,68054,6186,1,12373,0
1,65411,87805,14928,2,7464,0
2,42427,53034,5303,0,5303,0
1,54875,78393,7839,2,15678,0
1,43796,60219,10949,2,5474,0
1,47619,79365,15873,2,15873,0
3,2871,4101,410,3,820,0
0,53425,66781,6678,0,6678,0
0,53127,66248,6560,0,6560,0
1,22154,27793,2819,2,2819,0
0,41107,52852,5872,1,5872,0
0,43903,62719,6271,1,12543,0
1,75266,91992,8362,2,8362,0
3,2791,3987,398,3,797,0
1,30557,50853,10033,0,10262,0
0,50573,69538,6321,0,12643,0
2,55678,87495,15908,0,15908,0
2,4636,7022,1193,3,1193,0
0,40550,52136,5792,1,5792,0
0,42355,60507,6050,1,12101,0
1,55203,78861,7886,1,15772,0
1,3318,4723,936,3,468,0
2,3453,4635,688,3,493,0
1,34995,52493,11665,1,5832,0
1,52304,74720,7472,0,14944,0
2,42627,66986,12179,2,12179,0
1,41800,57475,10450,2,5225,0
0,49901,68614,6237,0,12475,0
2,2631,3947,687,3,628,0
1,26180,33660,3740,2,3740,0
1,55640,76505,13910,0,6955,0
1,41911,53886,5987,0,5987,0
1,51064,65654,7294,0,7294,0
2,3600,4629,514,3,514,0
2,50736,63070,6167,0,6167,0
1,32397,45269,4290,1,8581,0
2,31637,43931,3507,0,8786,0
1,52626,76108,11740,0,11740,0
3,3742,5146,935,3,467,0
2,3082,3811,364,3,364,0
1,38938,47942,4501,1,4501,0
1,56885,78218,14221,0,7110,0
0,40724,52360,5817,0,5817,0
1,49576,74365,12394,0,12394,0
2,54306,74672,6788,2,13576,0
1,43353,65029,10838,2,10838,0
1,48206,54712,6505,1,0,0
1,42764,53455,5345,2,5345,0
0,39795,54718,4974,1,9948,0
2,47549,63399,5283,1,10566,0
2,4904,6539,886,3,748,0
2,3136,3858,373,3,348,0
2,59669,89159,14745,1,14745,0
1,3697,4725,513,3,513,0
1,42248,63372,10562,1,10562,0
1,5183,7405,1481,3,740,0
1,24855,35508,7101,1,3550,0
0,51994,74278,14855,0,7427,0
0,41627,62441,10406,2,10406,0
2,33347,46979,9087,3,4543,0
1,61210,87443,8744,1,17488,0
0,49910,61773,5931,1,5931,0
0,33651,48073,4807,0,9614,0
1,51464,64330,6433,2,6433,0
3,2948,3705,378,3,378,0
1,4442,6836,1197,3,1197,0
0,31629,38658,3514,0,3514,0
1,43597,64526,13952,2,6976,0
2,46179,53489,6312,1,996,0
1,50757,65259,7251,2,7251,0
1,44517,55647,5564,2,5564,0
1,22392,27784,2833,2,2557,0
0,46206,63533,11551,1,5775,0
2,46062,55581,9519,1,0,0
1,43690,56298,6304,1,6304,0
2,59904,89856,14976,2,14976,0
2,54975,73852,12584,2,6292,0
0,46793,64340,11698,1,5849,0
1,36665,53366,11133,0,5566,0
1,30563,49966,9701,0,9701,0
0,54849,73291,12294,2,6147,0
1,48742,69632,6963,3,13926,0
0,44099,55123,5512,0,5512,0
1,72052,104076,16011,1,16011,0
2,44316,56978,6330,1,6330,0
1,4882,6556,1116,3,558,0
1,3916,5595,559,3,1119,0
0,49938,68664,6242,0,12484,0
1,24296,32752,4764,1,3691,0
2,56245,77338,7030,1,14061,0
0,44490,71239,13374,2,13374,0
1,40125,51590,5732,2,5732,0
0,33832,56461,11202,2,11427,0
0,61008,76944,7968,1,7968,0
1,5075,6978,634,3,1268,0
3,2886,3876,330,3,660,0
1,60441,95096,17463,3,17191,0
0,31767,39729,3980,0,3980,0
0,46630,67410,6462,1,14317,0
1,2025,2604,289,3,289,0
3,4666,5921,627,3,627,0
2,42132,66208,12037,2,12037,0
0,50591,69563,6323,0,12647,0
1,30092,42989,4298,1,8597,0
0,43769,65654,10942,1,10942,0
2,53992,77132,7713,2,15426,0
2,34325,47197,8581,2,4290,0
2,4762,6919,1078,3,1078,0
1,1990,2559,284,3,284,0
1,45641,67128,10743,2,10743,0
1,37513,52984,10313,0,5156,0
1,40510,50774,5132,1,5132,0
0,61695,85869,8058,0,16116,0
2,32002,41110,4553,1,4553,0
1,41892,68751,13429,0,13429,0
0,70156,94434,16185,0,8092,0
3,4770,6600,1219,3,609,0
2,35616,48972,4452,1,8904,0
1,33021,48417,10263,0,5131,0
1,41379,53202,5911,1,5911,0
3,3600,4950,450,3,900,0
2,6199,8885,1028,3,1657,0
1,2978,4874,1412,3,483,0
1,40533,62756,11111,2,11111,0
1,49706,63907,7100,0,7100,0
3,3065,4248,394,3,788,0
1,1799,2640,464,3,376,0
1,46698,60040,6671,2,6671,0
1,42851,64276,10712,1,10712,0
1,60242,90363,15060,2,15060,0
1,58857,85015,13079,0,13079,0
1,56369,84775,14202,2,14202,0
1,61090,84758,7889,3,15778,0
1,41894,57604,10473,3,5236,0
1,46135,59316,6590,2,6590,0
1,26354,33884,3764,2,3764,0
2,56138,77190,7017,1,14034,0
3,2009,2654,405,3,239,0
1,20493,29276,5855,0,2927,0
0,40318,51838,5759,2,5759,0
2,44258,53640,4399,2,4982,0
0,41172,59942,9384,0,9384,0
3,5283,7239,651,3,1303,0
1,2314,3066,440,3,312,0
2,26729,36752,3341,1,6682,0
0,44270,64156,13257,0,6628,0
2,32891,44261,3790,2,7580,0
0,50923,78814,13945,0,13945,0
0,40349,51878,5764,2,5764,0
1,33732,43703,4985,2,4985,0
3,3679,4525,385,3,459,0
1,44659,53111,4825,0,3626,0
1,2083,3080,436,3,560,0
1,43776,65240,7154,2,14309,0
1,48090,67095,6335,2,12670,0
1,45486,58482,6498,1,6498,0
2,41325,64939,11807,1,11807,0
0,42782,53478,5347,0,5347,0
1,38918,55604,5561,0,11123,0
0,61947,83075,14085,2,7042,0
0,61390,83008,14411,1,7205,0
0,43918,65877,10979,1,10979,0
1,41646,65445,11899,2,11899,0
3,4700,5907,603,3,603,0
1,6286,8980,1796,3,898,0
2,42294,52867,5286,0,5286,0
1,5120,6400,640,3,640,0
1,53080,79620,13270,3,13270,0
2,1753,2640,443,3,443,0
1,3904,5794,629,3,1259,0
1,67059,82200,7570,0,7570,0
1,34165,53689,9761,2,9761,0
1,44184,60753,11046,2,5523,0
0,50956,69628,6224,1,12448,0
2,46860,56882,4164,0,5857,0
1,49304,70435,7043,3,14087,0
1,36553,46135,4791,1,4791,0
1,37873,47606,4866,1,4866,0
1,41974,53966,5996,0,5996,0
2,46294,57868,5786,2,5786,0
1,41945,57675,10486,1,5243,0
1,48429,69184,6918,1,13836,0
1,3012,3934,587,3,334,0
0,39418,54554,5045,2,10090,0
3,5755,7659,648,3,1255,0
1,3415,4306,445,3,445,0
2,2840,4312,912,3,559,0
1,4188,5983,598,3,1196,0
0,51231,64038,6403,1,6403,0
1,51414,73449,14689,0,7344,0
1,45461,62509,11365,1,5682,0
2,47577,74016,13219,1,13219,0
1,63573,87240,7888,1,15777,0
3,4718,5898,589,3,589,0
2,3874,5811,968,3,968,0
1,59709,85298,8529,1,17059,0
2,48484,66428,12216,0,5727,0
1,27258,38940,3894,1,7788,0
1,34116,55822,10853,2,10853,0
2,34289,51434,11429,0,5714,0
2,31308,44206,4299,0,8598,0
0,51571,64464,6446,1,6446,0
2,50809,62896,6043,0,6043,0
3,2238,2798,281,3,279,0
1,47393,67705,6770,1,13541,0
0,56468,77644,14117,2,7058,0
1,5492,8512,1373,3,1646,0
2,56240,77330,7030,1,14060,0
1,42016,57772,10504,1,5252,0
2,21012,30018,6003,1,3001,0
2,42646,58639,10661,1,5330,0
1,53096,83436,15170,3,15170,0
2,13040,18636,2173,0,3423,0
1,32695,44956,4086,1,8173,0
1,39869,51260,5695,1,5695,0
1,41417,55222,6902,0,6902,0
2,32977,46644,9110,3,4555,0
2,46305,57882,5788,2,5788,0
1,51514,80951,14718,2,14718,0
1,46606,58257,5825,0,5825,0
2,25219,45088,9934,0,9934,0
1,18003,27241,5143,1,4094,0
3,4648,5928,639,3,639,0
